file,duration_seconds,num_windows,predicted_index,predicted_label,score_none,score_yem,base_score_none,base_score_yem,binary_feed_probability,binary_gate_label
..\PROJE1\hidrofon\kayit_20260313_050403.wav,10.0,5,0,none,0.617982,0.382018,0.617982,0.382018,,
..\PROJE1\hidrofon\kayit_20260313_050510.wav,10.0,5,0,none,0.61241,0.38759,0.61241,0.38759,,
..\PROJE1\hidrofon\kayit_20260313_050611.wav,10.0,5,0,none,0.495598,0.504402,0.495598,0.504402,,
..\PROJE1\hidrofon\kayit_20260313_050656.wav,10.0,5,0,none,0.617826,0.382174,0.617826,0.382174,,
..\PROJE1\hidrofon\kayit_20260313_050907.wav,10.0,5,0,none,0.600873,0.399127,0.600873,0.399127,,
..\PROJE1\hidrofon\kayit_20260313_051106.wav,10.0,5,0,none,0.622194,0.377806,0.622194,0.377806,,
..\PROJE1\hidrofon\kayit_20260313_051932.wav,10.0,5,0,none,0.62243,0.37757,0.62243,0.37757,,
..\PROJE1\hidrofon\kayit_20260313_052030.wav,10.0,5,0,none,0.554604,0.445396,0.554604,0.445396,,
..\PROJE1\hidrofon\kayit_20260313_052218.wav,10.0,5,0,none,0.614192,0.385808,0.614192,0.385808,,
..\PROJE1\hidrofon\kayit_20260313_052245.wav,10.0,5,0,none,0.630601,0.369399,0.630601,0.369399,,
..\PROJE1\hidrofon\kayit_20260313_052420.wav,10.0,5,1,yem,0.460394,0.539606,0.460394,0.539606,,
..\PROJE1\hidrofon\kayit_20260313_052517.wav,10.0,5,0,none,0.542449,0.457551,0.542449,0.457551,,
..\PROJE1\hidrofon\kayit_20260313_052609.wav,10.0,5,0,none,0.539391,0.460609,0.539391,0.460609,,
..\PROJE1\hidrofon\kayit_20260313_052719.wav,10.0,5,1,yem,0.431435,0.568565,0.431435,0.568565,,
..\PROJE1\hidrofon\kayit_20260313_052822.wav,10.0,5,1,yem,0.433129,0.566871,0.433129,0.566871,,
