file,duration_seconds,num_windows,predicted_index,predicted_label,score_none,score_yem,base_score_none,base_score_yem,binary_feed_probability,binary_gate_label
..\PROJE1\hidrofon\kayit_20260313_050403.wav,10.0,5,1,yem,0.465368,0.534632,0.465368,0.534632,,
..\PROJE1\hidrofon\kayit_20260313_050510.wav,10.0,5,0,none,0.492167,0.507833,0.492167,0.507833,,
..\PROJE1\hidrofon\kayit_20260313_050611.wav,10.0,5,1,yem,0.469421,0.530579,0.469421,0.530579,,
..\PROJE1\hidrofon\kayit_20260313_050656.wav,10.0,5,1,yem,0.471983,0.528017,0.471983,0.528017,,
..\PROJE1\hidrofon\kayit_20260313_050907.wav,10.0,5,1,yem,0.46841,0.53159,0.46841,0.53159,,
..\PROJE1\hidrofon\kayit_20260313_051106.wav,10.0,5,1,yem,0.468009,0.531991,0.468009,0.531991,,
..\PROJE1\hidrofon\kayit_20260313_051932.wav,10.0,5,1,yem,0.467239,0.532761,0.467239,0.532761,,
..\PROJE1\hidrofon\kayit_20260313_052030.wav,10.0,5,1,yem,0.467724,0.532276,0.467724,0.532276,,
..\PROJE1\hidrofon\kayit_20260313_052218.wav,10.0,5,1,yem,0.467042,0.532958,0.467042,0.532958,,
..\PROJE1\hidrofon\kayit_20260313_052245.wav,10.0,5,0,none,0.483011,0.516989,0.483011,0.516989,,
..\PROJE1\hidrofon\kayit_20260313_052420.wav,10.0,5,1,yem,0.430023,0.569977,0.430023,0.569977,,
..\PROJE1\hidrofon\kayit_20260313_052517.wav,10.0,5,1,yem,0.425018,0.574983,0.425018,0.574983,,
..\PROJE1\hidrofon\kayit_20260313_052609.wav,10.0,5,0,none,0.492445,0.507555,0.492445,0.507555,,
..\PROJE1\hidrofon\kayit_20260313_052719.wav,10.0,5,1,yem,0.448661,0.551339,0.448661,0.551339,,
..\PROJE1\hidrofon\kayit_20260313_052822.wav,10.0,5,1,yem,0.45285,0.54715,0.45285,0.54715,,
