file,duration_seconds,num_windows,predicted_index,predicted_label,score_none,score_strong,score_medium,score_weak,base_score_none,base_score_strong,base_score_medium,base_score_weak,binary_feed_probability,binary_gate_label
C:\Users\lenovo\Desktop\omar\PROJE1\hidrofon\kayit_20260313_050403.wav,10.0,5,0,none,1.0,0.0,0.0,0.0,0.006949,7.9e-05,0.000565,0.992407,0.0,nonfeeding_like
C:\Users\lenovo\Desktop\omar\PROJE1\hidrofon\kayit_20260313_050510.wav,10.0,5,0,none,1.0,0.0,0.0,0.0,0.006449,5.1e-05,0.000509,0.992991,0.0,nonfeeding_like
C:\Users\lenovo\Desktop\omar\PROJE1\hidrofon\kayit_20260313_050611.wav,10.0,5,0,none,0.885398,0.0,0.0,0.114602,0.012133,1e-06,0.0,0.987866,0.114602,nonfeeding_like
C:\Users\lenovo\Desktop\omar\PROJE1\hidrofon\kayit_20260313_050656.wav,10.0,5,0,none,1.0,0.0,0.0,0.0,0.018256,6.3e-05,0.000936,0.980746,0.0,nonfeeding_like
C:\Users\lenovo\Desktop\omar\PROJE1\hidrofon\kayit_20260313_050907.wav,10.0,5,0,none,1.0,0.0,0.0,0.0,0.092636,0.00077,0.004908,0.901686,0.0,nonfeeding_like
C:\Users\lenovo\Desktop\omar\PROJE1\hidrofon\kayit_20260313_051106.wav,10.0,5,0,none,1.0,0.0,0.0,0.0,0.050934,0.00063,0.031778,0.916658,0.0,nonfeeding_like
C:\Users\lenovo\Desktop\omar\PROJE1\hidrofon\kayit_20260313_051932.wav,10.0,5,0,none,1.0,0.0,0.0,0.0,0.009352,7.7e-05,0.001665,0.988906,0.0,nonfeeding_like
C:\Users\lenovo\Desktop\omar\PROJE1\hidrofon\kayit_20260313_052030.wav,10.0,5,0,none,0.995725,0.0,0.0,0.004275,0.176035,1.1e-05,2e-06,0.823951,0.004275,nonfeeding_like
C:\Users\lenovo\Desktop\omar\PROJE1\hidrofon\kayit_20260313_052218.wav,10.0,5,0,none,0.999997,0.0,0.0,3e-06,0.912721,0.000178,0.000127,0.086974,3e-06,nonfeeding_like
C:\Users\lenovo\Desktop\omar\PROJE1\hidrofon\kayit_20260313_052245.wav,10.0,5,0,none,1.0,0.0,0.0,0.0,0.015771,0.00039,0.000609,0.98323,0.0,nonfeeding_like
C:\Users\lenovo\Desktop\omar\PROJE1\hidrofon\kayit_20260313_052420.wav,10.0,5,0,none,1.0,0.0,0.0,0.0,0.000845,0.951362,0.047587,0.000206,0.0,nonfeeding_like
C:\Users\lenovo\Desktop\omar\PROJE1\hidrofon\kayit_20260313_052517.wav,10.0,5,0,none,1.0,0.0,0.0,0.0,0.000151,0.984419,0.015341,8.9e-05,0.0,nonfeeding_like
C:\Users\lenovo\Desktop\omar\PROJE1\hidrofon\kayit_20260313_052609.wav,10.0,5,0,none,1.0,0.0,0.0,0.0,9e-05,0.834964,0.163956,0.000991,0.0,nonfeeding_like
C:\Users\lenovo\Desktop\omar\PROJE1\hidrofon\kayit_20260313_052719.wav,10.0,5,0,none,1.0,0.0,0.0,0.0,0.000397,0.961422,0.038049,0.000132,0.0,nonfeeding_like
C:\Users\lenovo\Desktop\omar\PROJE1\hidrofon\kayit_20260313_052822.wav,10.0,5,0,none,1.0,0.0,0.0,0.0,0.00025,0.975035,0.024577,0.000138,0.0,nonfeeding_like
