file,sample_rate_hz,channels,duration_seconds,peak,rms,crest_factor,dc_offset,zero_crossing_rate,clipping_samples,spectral_centroid_hz,spectral_bandwidth_hz,spectral_rolloff95_hz,low_band_ratio_0_100hz,low_band_ratio_0_300hz,hum_50hz_ratio,hum_100hz_ratio,hum_150hz_ratio,hum_200hz_ratio,dominant_freq_0_300hz,dominant_freq_full_hz,mobilenet_label,mobilenet_confidence,panns_label,panns_confidence
kayit_20260313_050403.wav,48000,1,10.0,0.004395,3.9e-05,111.757962,-4.6e-07,0.383298,0,12190.857,7114.62,22878.623,0.088199,0.097363,0.00088,0.0,0.000311,0.0,5.859,5.859,weak,0.997227,strong,1.0
kayit_20260313_050510.wav,48000,1,10.0,0.000488,5.4e-05,8.972546,2e-07,0.363934,0,12050.991,7194.435,22871.827,0.565521,0.572378,0.005471,0.0,0.00028,0.0,5.859,5.859,weak,0.996075,strong,1.0
kayit_20260313_050611.wav,48000,1,10.0,0.130127,0.000783,166.226997,-5.2e-06,0.381108,0,12251.15,7141.336,22891.591,0.411859,0.418037,0.011457,0.0,0.000491,0.0,0.0,0.0,weak,0.996883,strong,1.0
kayit_20260313_050656.wav,48000,1,10.0,0.000214,2.9e-05,7.397956,-2e-07,0.385235,0,12265.505,7129.461,22892.341,0.099347,0.108313,0.00747,0.0,0.000431,0.0,5.859,5.859,weak,0.997501,strong,1.0
kayit_20260313_050907.wav,48000,1,10.0,0.002014,3.2e-05,63.820081,-3.5e-07,0.37974,0,12070.345,7199.085,22887.943,0.061268,0.071535,0.000727,0.0,0.00034,0.0,5.859,5.859,weak,0.997388,strong,1.0
kayit_20260313_051106.wav,48000,1,10.0,0.001434,3.2e-05,44.729164,-3e-07,0.376023,0,12058.448,7225.565,22869.603,0.132211,0.148418,0.000754,0.0,0.000491,0.0,5.859,5.859,weak,0.99912,strong,1.0
kayit_20260313_051932.wav,48000,1,10.0,0.000244,2.9e-05,8.353772,-5.3e-07,0.384958,0,12354.83,7093.104,22911.93,0.045095,0.054158,0.003962,0.0,0.000383,0.0,5.859,5.859,weak,0.996474,strong,1.0
kayit_20260313_052030.wav,48000,1,10.0,0.064209,0.000367,174.853007,1.79e-06,0.385018,0,12300.132,7092.983,22894.764,0.18933,0.197015,0.007464,0.0,0.000389,0.0,0.0,0.0,weak,0.997776,strong,1.0
kayit_20260313_052218.wav,48000,1,10.0,0.049744,0.000301,165.502929,-2.33e-06,0.388768,0,12383.018,7088.554,22910.781,0.078311,0.086814,0.001916,0.0,0.000332,0.0,0.0,0.0,weak,0.997199,strong,1.0
kayit_20260313_052245.wav,48000,1,10.0,0.022949,0.000142,161.296185,3.6e-07,0.339157,0,12046.475,7218.976,22884.47,0.430464,0.436557,0.002202,0.0,0.000227,0.0,5.859,5.859,weak,0.997461,strong,1.0
kayit_20260313_052420.wav,48000,1,10.0,0.024658,0.00898,2.74605,3.2e-07,0.009124,0,2217.923,4846.248,15563.724,0.772051,0.979696,0.368904,0.0,0.089546,0.0,52.734,52.734,weak,0.999979,strong,1.0
kayit_20260313_052517.wav,48000,1,10.0,0.217621,0.075139,2.89623,3.78e-06,0.00481,0,1942.599,4219.647,11370.711,0.798383,0.981353,0.382823,0.0,0.079675,0.0,52.734,52.734,strong,0.987829,strong,1.0
kayit_20260313_052609.wav,48000,1,10.0,0.012543,0.003788,3.311076,2.68e-06,0.034031,0,6946.459,8021.319,22005.914,0.68069,0.95862,0.324218,0.0,0.118482,0.0,52.734,52.734,none,0.99985,strong,1.0
kayit_20260313_052719.wav,48000,1,10.0,0.08786,0.034587,2.540284,2.1e-07,0.004857,0,2083.565,4666.156,14661.78,0.726103,0.97804,0.348127,0.0,0.108475,0.0,52.734,52.734,medium,0.583062,strong,1.0
kayit_20260313_052822.wav,48000,1,10.0,0.221863,0.092256,2.404866,1.729e-05,0.003063,0,1214.411,3338.877,6095.974,0.833154,0.986945,0.39957,0.0,0.067781,0.0,52.734,52.734,strong,0.617642,strong,1.0
